id,index,period,timestamp,minute,second,possession,obv_for_after,obv_for_before,obv_for_net,obv_against_after,obv_against_before,obv_against_net,obv_total_net,duration,type.id,type.name,possession_team.id,possession_team.name,play_pattern.id,play_pattern.name,team.id,team.name,tactics.formation,tactics.lineup,related_events,location,player.id,player.name,position.id,position.name,pass.recipient.id,pass.recipient.name,pass.length,pass.angle,pass.height.id,pass.height.name,pass.end_location,pass.type.id,pass.type.name,pass.body_part.id,pass.body_part.name,carry.end_location,under_pressure,pass.outcome.id,pass.outcome.name,ball_receipt.outcome.id,ball_receipt.outcome.name,counterpress,duel.type.id,duel.type.name,miscontrol.aerial_won,pass.aerial_won,dribble.outcome.id,dribble.outcome.name,pass.switch,interception.outcome.id,interception.outcome.name,shot.statsbomb_xg,shot.end_location,shot.outcome.id,shot.outcome.name,shot.technique.id,shot.technique.name,shot.body_part.id,shot.body_part.name,shot.type.id,shot.type.name,shot.freeze_frame,goalkeeper.end_location,goalkeeper.position.id,goalkeeper.position.name,goalkeeper.type.id,goalkeeper.type.name,off_camera,clearance.head,clearance.body_part.id,clearance.body_part.name,dribble.nutmeg,out,ball_recovery.recovery_failure,pass.cross,pass.xclaim,clearance.left_foot,pass.assisted_shot_id,pass.goal_assist,shot.open_goal,shot.statsbomb_xg2,shot.key_pass_id,shot.first_time,goalkeeper.outcome.id,goalkeeper.outcome.name,goalkeeper.technique.id,goalkeeper.technique.name,pass.through_ball,pass.technique.id,pass.technique.name,pass.shot_assist,goalkeeper.body_part.id,goalkeeper.body_part.name,shot.aerial_won,duel.outcome.id,duel.outcome.name,foul_won.defensive,clearance.right_foot,pass.straight,shot.one_on_one,50_50.outcome.id,50_50.outcome.name,injury_stoppage.in_chain,dribble.no_touch,clearance.aerial_won,foul_committed.advantage,foul_won.advantage,substitution.outcome.id,substitution.outcome.name,substitution.replacement.id,substitution.replacement.name,pass.inswinging,foul_committed.card.id,foul_committed.card.name,bad_behaviour.card.id,bad_behaviour.card.name,pass.miscommunication,pass.cut_back,dribble.overrun,pass.outswinging
5ab3a8e3-e6e1-4a94-b057-57b2301abac5,1,1,00:00:00.000,0,0,1,,,,,,,,0.0,35,Starting XI,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,433.0,"[{'player': {'id': 4637, 'name': 'Ellie Roebuck'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 221888, 'name': 'Kerstin Yasmijn Casparij'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 10185, 'name': 'Stephanie Houghton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 10252, 'name': 'Alex Greenwood'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 32210, 'name': 'Laia Aleixandri López'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 25632, 'name': 'Yui Hasegawa'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 62666, 'name': 'Ingrid Filippa Angeldal'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 19416, 'name': 'Laura Coombs'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 15555, 'name': 'Lauren Hemp'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 25554, 'name': 'Khadija Monifa Shaw'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15347fb5-bd07-47c7-9331-b5d0d6901847,2,1,00:00:00.000,0,0,1,,,,,,,,0.0,35,Starting XI,746,Manchester City WFC,1,Regular Play,968,Arsenal WFC,343.0,"[{'player': {'id': 10237, 'name': 'Manuela Zinsberger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 49697, 'name': 'Carlotte Wubben-Moy'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 131570, 'name': 'Rafaelle Leone Carvalho Souza'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 10404, 'name': 'Noelle Maritz'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 16}, {'player': {'id': 5000, 'name': 'Stephanie-Elise Catley'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 7}, {'player': {'id': 15616, 'name': 'Kim Little'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 10516, 'name': 'Frida Maanum'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 63788, 'name': 'Victoria Pelova'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 21}, {'player': {'id': 11338, 'name': 'Caitlin Jade Foord'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 10229, 'name': 'Emma Stina Blackstenius'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7b3793be-f0aa-40b5-aedf-e2ec45e43069,3,1,00:00:00.000,0,0,1,,,,,,,,0.0,18,Half Start,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,,,['b3f6b437-6189-49a7-84b3-06992c851d5d'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3f6b437-6189-49a7-84b3-06992c851d5d,4,1,00:00:00.000,0,0,1,,,,,,,,0.0,18,Half Start,746,Manchester City WFC,1,Regular Play,968,Arsenal WFC,,,['7b3793be-f0aa-40b5-aedf-e2ec45e43069'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edbc9819-3d24-4c37-adc0-06949261903b,5,1,00:00:00.280,0,0,2,0.015265243,0.007439294,0.007825949,0.00996913,0.008581229,0.0013879016,0.0064380476,1.012141,30,Pass,746,Manchester City WFC,9,From Kick Off,746,Manchester City WFC,,,['d951ed07-53b6-412b-9e50-5317a66a7396'],"[60.0, 40.0]",25554.0,Khadija Monifa Shaw,23.0,Center Forward,25632.0,Yui Hasegawa,16.03278,-2.9087162,1.0,Ground Pass,"[44.4, 36.3]",65.0,Kick Off,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d951ed07-53b6-412b-9e50-5317a66a7396,6,1,00:00:01.292,0,1,2,,,,,,,,,42,Ball Receipt*,746,Manchester City WFC,9,From Kick Off,746,Manchester City WFC,,,['edbc9819-3d24-4c37-adc0-06949261903b'],"[44.4, 36.3]",25632.0,Yui Hasegawa,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce398ea2-769b-43d0-8911-a71d6ad7ce82,7,1,00:00:01.292,0,1,2,0.015398634,0.015265243,0.0001333905,0.009945673,0.00996913,-2.34572e-05,0.0001568478,1.177484,43,Carry,746,Manchester City WFC,9,From Kick Off,746,Manchester City WFC,,,"['9fdba1c7-4244-43fd-b0fc-b6f944407c1f', 'd951ed07-53b6-412b-9e50-5317a66a7396']","[44.4, 36.3]",25632.0,Yui Hasegawa,10.0,Center Defensive Midfield,,,,,,,,,,,,"[45.8, 36.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9fdba1c7-4244-43fd-b0fc-b6f944407c1f,8,1,00:00:02.470,0,2,2,0.013102427,0.015398634,-0.0022962065,0.011074343,0.009945673,0.0011286698,-0.0034248764,1.349634,30,Pass,746,Manchester City WFC,9,From Kick Off,746,Manchester City WFC,,,['bc80bce1-2601-4654-aeb2-97dc87c2fee2'],"[45.8, 36.1]",25632.0,Yui Hasegawa,10.0,Center Defensive Midfield,10185.0,Stephanie Houghton,24.342966,2.1986866,1.0,Ground Pass,"[31.5, 55.8]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bc80bce1-2601-4654-aeb2-97dc87c2fee2,9,1,00:00:03.819,0,3,2,,,,,,,,,42,Ball Receipt*,746,Manchester City WFC,9,From Kick Off,746,Manchester City WFC,,,['9fdba1c7-4244-43fd-b0fc-b6f944407c1f'],"[31.5, 55.8]",10185.0,Stephanie Houghton,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389e5373-3b6c-4e80-9ac7-93af4f9166b2,10,1,00:00:03.819,0,3,2,0.013102427,0.013102427,0.0,0.011074343,0.011074343,0.0,0.0,1.336042,43,Carry,746,Manchester City WFC,9,From Kick Off,746,Manchester City WFC,,,"['5d28c41f-657c-4b5d-8c7d-6975ae7071eb', 'bc80bce1-2601-4654-aeb2-97dc87c2fee2']","[31.5, 55.8]",10185.0,Stephanie Houghton,3.0,Right Center Back,,,,,,,,,,,,"[31.5, 55.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d28c41f-657c-4b5d-8c7d-6975ae7071eb,11,1,00:00:05.155,0,5,2,0.013918797,0.013102427,0.0008163694,0.01171267,0.011074343,0.0006383276,0.0001780419,1.339383,30,Pass,746,Manchester City WFC,9,From Kick Off,746,Manchester City WFC,,,['0d0262f2-9968-4253-b928-bb389a1370f0'],"[31.5, 55.8]",10185.0,Stephanie Houghton,3.0,Right Center Back,10252.0,Alex Greenwood,19.525623,-1.6220335,1.0,Ground Pass,"[30.5, 36.3]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0d0262f2-9968-4253-b928-bb389a1370f0,12,1,00:00:06.495,0,6,2,,,,,,,,,42,Ball Receipt*,746,Manchester City WFC,9,From Kick Off,746,Manchester City WFC,,,['5d28c41f-657c-4b5d-8c7d-6975ae7071eb'],"[30.5, 36.3]",10252.0,Alex Greenwood,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
