Team Name,Player Name,Position Name,Clearances,Blocks,Interceptions_LostinPlay,Interceptions_LostOut,Interceptions_SuccessinPlay,Interceptions_Won,Tackle_LostinPlay,Tackle_LostOut,Tackle_SuccessInPlay,Tackles_Won,Pass_Complete,Pass_Incomplete,Pass_Out,Pass_Offside,Pass_Unknown,Dribbled_Past,Aerials_Won,Aerial_Lost,Shielded,Pressures,Carries,foul_committed.card.name,Fouls Committed,Passes Attempted,Pass Accuracy,Interceptions Attempted,Interceptions Accuracy,Tackles Attempted,Tackles Accuracy
Manchester City WFC,Laura Coombs,Left Center Midfield,0,1,0,0,0,0,0,0,3,0,28,6,0,1,0,2,0,4,0,24,31,,1,35,0.8,0,,3,1
Manchester City WFC,Kerstin Yasmijn Casparij,Right Back,3,1,0,1,2,1,0,1,2,0,51,11,0,0,1,1,2,0,0,16,40,,1,63,0.8095238,4,0.75,3,0.6666667
Arsenal WFC,Stephanie-Elise Catley,Left Back,3,3,0,1,0,0,0,0,1,0,33,5,0,1,0,0,0,0,0,7,21,,0,39,0.8461539,1,0,1,1
Manchester City WFC,Yui Hasegawa,Center Defensive Midfield,0,3,2,0,2,3,2,0,1,2,61,7,0,0,0,1,1,1,0,18,60,,0,68,0.8970588,7,0.7142857,5,0.6
Arsenal WFC,Emma Stina Blackstenius,Right Center Forward,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,7,4,,0,4,1,0,,0,
Arsenal WFC,Frida Maanum,Left Center Forward,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,11,13,,0,8,0.5,0,,0,
Arsenal WFC,Kim Little,Right Defensive Midfield,1,2,0,0,0,0,1,0,1,0,33,7,0,0,0,1,0,1,0,25,38,,1,40,0.825,0,,2,0.5
Arsenal WFC,Carlotte Wubben-Moy,Center Back,3,0,0,0,0,1,0,0,1,0,25,7,0,0,0,1,1,1,0,4,31,,0,32,0.78125,1,1,1,1
Arsenal WFC,Lia Wälti,Left Defensive Midfield,1,1,0,0,1,0,0,0,2,1,21,6,0,0,1,2,0,0,0,8,23,,1,28,0.75,1,1,3,1
Arsenal WFC,Leah Williamson,Right Center Back,1,4,0,0,0,2,0,0,0,0,47,21,2,0,0,2,1,1,0,8,58,,0,70,0.6714286,2,1,0,
